TABLE=BadgeProfil
Badge;Profil
200004729;14
200004730;14
200004731;14
200004733;14
200004734;14
200004736;14
200004737;14
200004738;14
200004740;14
200004742;14
200004743;14
200004768;14
200004769;14
200004772;14
200004773;14
200004774;14
200004775;14
200004776;14
200004777;14
200004780;14
200004781;14
200004782;14
200004784;14
200004785;14
200004786;14
200004788;14
200004789;14
200004790;14
200004794;14
200004795;14
200004796;14
200004797;14
200004798;14
200004801;14
200004803;14
200004804;14
200004805;14
200004807;14
200004808;14
200004809;14
200004812;14
200004813;14
200004814;14
200004815;14
200004816;14
200004819;14
200004821;14
200004822;14
200004824;14
200004831;14
200004832;14
200004834;14
200004835;14
200004836;14
200004837;14
200004838;14
200004842;14
200004843;14
200004844;14
200004845;14
200004846;14
200004849;14
200004850;14
200004851;14
200004852;14
200004856;14
200004857;14
200004860;14
200004861;14
200004865;14
200004867;14
200004868;14
200004869;14
200004870;14
200004871;14
200004874;14
200004877;14
200004879;14
200004880;14
200004882;14
200004883;14
200004884;14
200004885;14
200004886;14
200004888;14
200004889;14
200004891;14
200004892;14
200004897;14
200004900;14
200004901;14
200004902;14
200004903;14
200004904;14
200004905;14
200004910;14
200004911;14
200004912;14
200004913;14
200004914;14
200004917;14
200004918;14
200004920;14
200004922;14
200004925;14
200004926;14
200004928;14
200004929;14
200004930;14
200004931;14
200004932;14
200004935;14
200004937;14
200004938;14
200004939;14
200004940;14
200004942;14
200004943;14
200004946;14
200004947;14
200004948;14
200004949;14
200004951;14
200004952;14
200004953;14
200004960;14
200004964;14
200004966;14
200004967;14
200004968;14
200004971;14
200004972;14
200004973;14
200004974;14
200004975;14
200004976;14
200004977;14
200004978;14
200004980;14
200004982;14
200004984;14
200004985;14
200004986;14
200004987;14
200004989;14
200004992;14
200004993;14
200004996;14
200004997;14
200004998;14
200005002;14
200005003;14
200005004;14
200005005;14
200005006;14
200005013;14
200005014;14
200005015;14
200005016;14
200005017;14
200005019;14
200005020;14
200005046;14
200005047;14
200005381;14
200005383;14
200005384;14
200005390;14
200005391;14
200005406;14
200005444;14
200005446;14
200005449;14
200005452;14
200005458;14
200005460;14
200005464;14
200005465;14
200005466;14
200005469;14
200005476;14
200005478;14
200005480;14
200005486;14
200005488;14
200005611;14
200005697;14
200005722;14
200005729;14
200005730;14
200005731;14
200005732;14
200005733;14
200005734;14
200005763;14
200006079;14
200006080;14
200006081;14
200006082;14
200006083;14
200006084;14
200006085;14
200006086;14
200006087;14
200006088;14
200006089;14
200006090;14
200006091;14
200006092;14
200006093;14
200006094;14
200006095;14
200006096;14
200006097;14
200006098;14
200006099;14
200006100;14
200006101;14
200006102;14
200006103;14
200006104;14
200006105;14
200006106;14
200006107;14
200006108;14
200006109;14
200006110;14
200006111;14
200006112;14
200006113;14
200006114;14
200006115;14
200006116;14
200006117;14
200006118;14
200006119;14
200006120;14
200006121;14
200006122;14
200006123;14
200006124;14
200006125;14
200006126;14
200006127;14
200006128;14
200006129;14
200006130;14
200006131;14
200006132;14
200006133;14
200006134;14
200006135;14
200006136;14
200006137;14
200006138;14
200006139;14
200006140;14
200006141;14
200006142;14
200006143;14
200006144;14
200006145;14
200006146;14
200006147;14
200006148;14
200006149;14
200006150;14
200006151;14
200006152;14
200006153;14
200006154;14
200006155;14
200006156;14
200006157;14
200006158;14
200006159;14
200006160;14
200006161;14
200006162;14
200006163;14
200006164;14
200006165;14
200006166;14
200006167;14
200006168;14
200006169;14
200006170;14
200006171;14
200006172;14
200006173;14
200006174;14
200006175;14
200006176;14
200006177;14
200006178;14
200006179;14
200006180;14
200006181;14
200006182;14
200006183;14
200006184;14
200006185;14
200006186;14
200006187;14
200006188;14
200006189;14
200006190;14
200006191;14
200006192;14
200006195;14
200006196;14
200006197;14
200006198;14
200006199;14
200006200;14
200006201;14
200006202;14
200006203;14
200006204;14
200006205;14
200006206;14
200006207;14
200006208;14
200006209;14
200006210;14
200006211;14
200006212;14
200006213;14
200006214;14
200006215;14
200006216;14
200006217;14
200006218;14
200006219;14
200006220;14
200006221;14
200006222;14
200006223;14
200006224;14
200006225;14
200006226;14
200006227;14
200006228;14
200006229;14
200006230;14
200006231;14
200006232;14
200006233;14
200006234;14
200006235;14
200006236;14
200006237;14
200006238;14
200006239;14
200006312;14
200006480;14
200006481;14
200006482;14
200006483;14
200006484;14
200006485;14
200006486;14
200006487;14
200006488;14
200006489;14
200006490;14
200006491;14
200006492;14
200006493;14
200006494;14
200006495;14
200006496;14
200006497;14
200006499;14
200006500;14
200006501;14
200006503;14
200006504;14
200006505;14
200006508;14
200006509;14
200006510;14
200006514;14
200006515;14
200006516;14
200006517;14
200006518;14
200006520;14
200006521;14
200006523;14
200006524;14
200006525;14
200006526;14
200006527;14
200006528;14
200006529;14
200006530;14
200006531;14
200006532;14
200006533;14
200006534;14
200006536;14
200006537;14
200006539;14
200006540;14
200006543;14
200006544;14
200006545;14
200006546;14
200006547;14
200006548;14
200006549;14
200006550;14
200006551;14
200006552;14
200006553;14
200006554;14
200006555;14
200006556;14
200006558;14
200006559;14
200006560;14
200006561;14
200006562;14
200006563;14
200006564;14
200006566;14
200006567;14
200006568;14
200006569;14
200006570;14
200006571;14
200006572;14
200006573;14
200006574;14
200006575;14
200006576;14
200006577;14
200006578;14
200006579;14
200006580;14
200006581;14
200006582;14
200006589;14
200006590;14
200006591;14
200006592;14
200006593;14
200006594;14
200006595;14
200006596;14
200006598;14
200006599;14
200006600;14
200006601;14
200006602;14
200006603;14
200006604;14
200006605;14
200006606;14
200006607;14
200006608;14
200006609;14
200006610;14
200006611;14
200006612;14
200006613;14
200006614;14
200006615;14
200006616;14
200006617;14
200006618;14
200006619;14
200006620;14
200006621;14
200006622;14
200006623;14
200006625;14
200006626;14
200006627;14
200006628;14
200006630;14
200006631;14
200006633;14
200006639;14
200006642;14
200006643;14
200006644;14
200006645;14
200006646;14
200006647;14
200006648;14
200006649;14
200006650;14
200006651;14
200006652;14
200006653;14
200006654;14
200006655;14
200006656;14
200006657;14
200006658;14
200006659;14
200006660;14
200006661;14
300000004;16
300000006;15
300000008;15
300000031;15
300000038;16
300000040;15
300000042;15
300000044;15
300000047;16
300000058;16
300000063;15
300000064;15
300000075;15
300000081;15
300000085;15
300000088;15
300000091;15
300000104;15
300000109;16
300000110;15
300000112;15
300000113;15
300000116;15
300000116;16
300000119;16
300000123;15
300000132;15
300000137;15
300000142;15
300000145;15
300000148;16
300000153;15
300000153;16
300000154;15
300000157;15
300000159;15
300000162;15
300000209;15
300000210;14
300000226;15
300000227;16
300000228;15
300000229;16
300000230;15
300000231;16
300000232;15
300000233;15
300000234;15
300000235;15
300000236;15
300000237;15
300000238;16
300000239;15
300000240;16
300000241;16
300000242;16
300000243;15
300000244;15
300000245;15
300000246;16
300000247;15
300000248;15
300000249;15
300000250;15
300000251;15
300000252;15
300000253;16
300000254;15
300000255;16
300000256;16
300000257;15
300000258;15
300000259;16
300000260;16
300000261;15
300000262;15
300000263;15
300000264;15
300000265;15
300000266;15
300000267;15
300000268;15
300000269;16
300000270;15
300000271;15
300000272;16
300000273;15
300000274;16
300000275;15
300000276;15
300000278;15
300000280;15
300000281;15
300000282;15
300000283;15
300000284;15
300000285;15
300000286;15
300000287;15
300000288;15
300000289;15
300000290;16
300000291;16
300000292;15
300000293;15
300000294;15
300000295;15
300000296;15
300000297;15
300000298;15
300000300;16
300000302;15
300000303;16
300000305;16
300000306;16
300000307;15
300000309;15
300000310;15
300000311;15
300000312;15
300000314;15
300000315;15
300000316;15
300000317;15
300000319;15
300000322;16
300000323;15
300000325;15
300000326;15
300000327;15
300000328;15
300000329;15
300000330;15
300000331;15
300000332;15
300000333;15
300000334;15
300000335;16
300000336;15
300000337;16
300000338;16
300000339;15
300000340;15
300000341;16
300000342;16
300000343;15
300000344;15
300000345;15
300000346;15
300000347;15
300000348;15
300000349;15
300000350;15
300000351;15
300000352;16
300000353;15
300000354;15
300000355;15
300000356;15
300000357;14
300000358;14
300000359;14
300000360;14
300000361;14
300000362;15
300000364;14
300000365;15
300000366;14
300000367;15
300000368;14
300000369;15
300000369;16
300000370;15
300000371;14
300000372;14
300000373;14
300000374;14
300000375;14
400000029;14
400000147;14
400000266;14
400000267;14
400000268;14
400000269;14
400000270;14
400000271;14
400000272;14
400000273;14
400000274;14
400000275;14
400000276;14
400000277;14
400000278;14
400000279;14
400000280;14
400000281;18
400000282;14
400000283;14
400000285;14
400000286;14
400000287;14
400000288;14
400000289;14
400000290;14
400000291;14
400000292;14
400000293;14
400000294;14
400000296;14
400000297;14
400000298;14
400000299;14
400000300;14
400000301;14
400000303;14
400000304;14
400000305;14
400000306;14
400000307;14
400000308;14
400000309;14
400000310;14
400000311;14
400000312;14
400000313;14
400000314;14
400000315;14
400000316;14
400000317;14
400000318;14
400000319;14
400000320;14
400000321;14
400000322;14
400000323;14
400000324;14
400000325;14
400000326;14
400000327;14
400000328;14
400000329;14
400000330;14
400000331;14
400000332;14
400000333;14
400000334;14
400000335;14
400000336;14
400000337;14
400000338;14
400000339;14
400000340;14
400000341;14
400000342;14
400000343;14
400000344;14
400000345;14
400000346;14
400000347;14
400000348;14
400000349;14
400000350;14
400000351;14
400000352;14
400000353;14
400000354;14
400000355;14
400000356;14
400000357;14
400000358;14
400000359;14
400000360;14
400000361;14
400000362;14
400000363;14
400000364;14
400000365;14
400000366;14
400000367;14
400000368;14
400000369;14
400000370;14
400000371;14
400000372;14
400000373;14
400000550;14
400000551;14
400000552;14
400000553;14
400000554;14
400000555;14
400000556;14
400000557;14
400000558;14
400000559;14
400000560;14
400000561;14
400000562;14
400000563;14
400000564;14
400000565;14
400000566;14
400000567;14
400000568;14
400000569;14
400000570;14
400000571;14
400000572;14
400000573;14
400000574;14
400000575;14
400000576;14
400000577;14
400000578;14
400000579;14
400000580;14
400000581;14
400000582;14
400000583;14
400000584;14
400000585;14
400000586;14
400000587;14
400000588;14
400000589;14
400000590;14
400000591;14
400000592;14
400000593;14
400000594;14
400000595;14
400000596;14
400000597;14
400000598;14
400000599;14
400000600;14
400000601;14
400000602;14
400000603;14
400000604;14
400000605;14
400000606;14
400000607;14
400000608;14
400000609;14
400000610;14
400000611;14
400000612;14
400000613;14
400000614;14
400000615;14
400000616;14
400000617;14
400000618;14
400000619;14
400000620;14
400000621;14
400000622;14
400000623;14
400000624;14
400000625;14
400000626;14
400000627;14
400000628;14
400000629;14
400000630;14
400000631;14
400000632;14
400000633;14
400000634;14
400000635;14
400000636;14
400000637;14
400000638;14
400000639;14
400000640;14
400000641;14
400000642;14
400000643;14
400000644;14
400000645;14
400000646;14
400000647;14
400000648;19
400000649;14
400000650;14
400000651;14
400000652;14
400000653;14
400000655;14
400000657;14
400000658;14
400000659;14
400000660;14
400000661;14
400000663;14
400000664;14
400000665;14
400000666;14
400000667;14
400000668;14
400000669;14
400000670;14
400000671;14
400000672;14
400000673;14
400000674;14
400000675;14
400000676;14
400000677;14
400000678;14
400000682;14
400000684;14
400000685;14
400000686;14
400000687;14
400000688;14
400000689;14
400000690;14
400000691;14
400000692;14
400000693;14
400000694;14
400000697;14
400000701;14
400000710;14
400000712;14
400000713;14
400000714;14
400000715;14
400000716;14
400000717;14
400000718;14
400000719;14
400000720;14
400000721;14
400000722;14
400000723;14
400000724;14
400000725;14
400000726;14
400000727;14
400000728;14
400000729;14
400000730;14
400000731;14
400000732;14
400000733;14
400000734;14
400000735;14
400000736;14
400000737;14
400000738;14
400000739;14
400000740;14
400000741;14
400000742;14
400000743;14
400000744;14
400000745;14
400000746;14
400000747;14
400000748;14
400000749;14
400000750;14
400000751;14
400000752;14
400000753;14
400000754;14
400000755;14
400000756;14
400000757;14
400000758;14
400000759;14
400000760;14
400000761;14
400000762;15
400000763;14
400000764;14
400000765;14
400000766;14
400000767;14
400000768;14
400000769;14
400000770;14
400000771;14
400000772;14
400000773;14
400000774;14
400000775;14
400000777;14
400000778;14
400000779;14
400000780;14
400000782;14
400000783;14
400000791;14
400000793;14
400000818;14
400000819;14
400000820;14
400000825;14
400000826;14
400000827;14
400000828;14
400000829;14
400000830;14
400000831;14
400000832;14
400000833;14
400000834;14
400000835;14
400000836;14
400000837;14
400000838;14
400000839;14
400000840;14
400000841;14
400000842;14
400000843;14
400000844;14
400000845;14
400000846;14
400000847;14
400000855;14
400000862;14
400000863;14
400000866;14
400000867;14
400000868;14
400000869;14
400000871;14
400000873;14
400000878;14
400000887;3
400000887;659
400000890;14
400000891;14
400000919;14
400000922;14
400000923;14
400000924;14
400000925;14
400000926;14
400000927;14
400000934;14
400000935;14
400000936;14
400000938;14
400000943;14
400000944;14
400000945;14
400000946;14
400000947;14
400000948;14
400000949;14
400000950;14
400000951;14
400000952;14
400000957;14
400000961;14
400000970;14
400000971;14
400000973;14
400000974;15
400000974;16
400000985;14
400000986;14
400000987;14
400000989;15
400000995;14
400000998;14
400000999;14
400001000;14
400001001;14
400001004;14
400001005;14
400001006;14
400001007;14
400001008;14
400001009;15
400001010;14
400001014;14
400001016;14
400001017;14
400001018;14
400001020;14
400001024;14
400001025;14
400001031;15
400001033;14
400001034;14
400001035;14
400001046;14
400001047;14
400001055;14
400001056;14
400001057;14
400001058;14
400001059;14
400001060;14
400001061;14
400001062;14
400001063;14
400001064;14
400001066;14
400001067;14
400001068;14
400001071;14
400001073;14
400001074;14
400001076;14
400001077;14
400001078;14
400001079;14
400001080;3
400001080;12
400001080;14
400001080;154
400001080;657
400001080;659
400001081;14
400001082;14
400001083;14
400001084;14
400001086;14
400001087;14
400001088;14
400001089;14
400001090;14
400001091;14
400001092;14
400001093;14
400001094;14
400001095;14
400001096;14
400001097;14
400001098;14
400001099;14
400001100;14
400001101;14
400001102;14
400001103;14
400001104;14
400001105;14
400001106;14
400001107;14
400001108;14
400001109;14
400001110;14
400001111;14
400001112;14
400001113;14
400001114;16
400001115;14
400001116;14
400001117;14
400001118;14
400001119;14
400001120;14
400001121;14
400001124;14
400001125;14
400001126;14
400001127;14
400001128;14
400001129;14
400001130;14
400001131;14
400001132;14
400001133;14
400001134;14
400001135;14
400001136;14
400001137;14
400001138;14
400001139;14
400001140;14
400001141;14
400001142;14
400001143;14
400001144;14
400001145;14
400001146;14
400001147;14
400001148;14
400001149;14
400001150;14
400001151;14
400001152;14
400001153;14
400001154;14
400001155;14
400001156;14
400001157;14
400001158;14
400001159;14
400001160;14
400001161;14
400001162;14
400001163;14
400001164;14
400001165;14
400001167;14
400001172;14
400001173;14
400001174;16
400001175;14
400001177;14
400001178;14
400001179;14
400001180;14
400001184;14
400001186;14
400001187;14
400001188;14
400001190;14
400001198;14
400001199;14
400001206;14
400001215;14
400001216;14
400001227;14
400001228;14
400001229;2
400001229;14
400001229;659
400001229;782
400001229;876
400001230;14
400001231;14
400001232;14
400001233;14
400001234;14
400001235;14
400001236;14
400001237;14
400001238;14
400001239;14
400001243;14
400001244;14
400001245;14
400001249;14
400001250;14
400001251;14
400001252;14
400001253;14
400001254;14
400001255;14
400001256;14
400001257;14
400001258;14
400001259;14
400001260;14
400001261;14
400001262;14
400001263;14
400001264;14
400001265;14
400001266;14
400001267;14
400001269;14
400001272;14
400001273;14
400001274;14
400001275;14
400001276;14
400001284;14
400001288;14
400001291;14
400001293;14
400001294;14
400001295;14
400001296;14
400001299;14
400001300;14
400001302;14
400001303;15
400001305;14
400001306;14
400001307;14
400001309;14
400001312;14
400001313;14
400001317;14
400001318;14
400001321;14
400001322;14
400001323;14
400001324;14
400001325;14
400001326;14
400001327;14
400001328;14
400001329;14
400001330;14
400001331;14
400001332;14
400001333;14
400001335;14
400001337;14
400001338;14
400001340;14
400001341;14
400001343;14
400001344;14
400001345;14
400001346;14
400001347;14
400001348;14
400001349;14
400001350;14
400001352;14
400001353;14
400001354;14
400001355;14
400001356;14
400001357;14
400001358;14
400001359;14
400001362;14
400001363;14
400001364;14
400001366;14
400001369;14
400001374;14
400001375;14
400001380;14
400001384;14
400001386;14
400001387;14
400001393;14
400001394;14
400001395;14
400001396;14
400001397;14
400001399;14
400001400;14
400001401;14
400001402;14
400001404;14
400001405;14
400001406;14
400001407;14
400001408;14
400001409;14
400001412;14
400001413;14
400001414;14
400001415;14
400001416;14
400001417;14
400001418;14
400001419;14
400001420;14
400001421;14
400001422;14
400001423;14
400001424;14
400001425;14
400001426;14
400001428;14
400001429;14
400001430;14
400001431;14
400001432;14
400001433;14
400001434;14
400001436;14
400001437;14
400001438;14
400001439;14
400001440;14
400001441;14
400001442;14
400001443;14
400001446;14
400001449;14
400001451;14
400001452;14
400001453;14
400001454;14
400001455;14
400001459;14
400001460;14
400001462;14
400001464;14
400001465;14
400001466;14
400001467;14
400001468;14
400001469;14
400001470;14
400001471;14
400001472;14
400001473;14
400001474;14
400001475;14
400001476;14
400001477;14
400001478;14
400001479;14
400001482;14
400001483;14
400001484;14
400001485;14
400001486;14
400001487;14
400001490;14
400001495;15
400001503;15
400001504;14
400001505;14
400001507;14
400001510;14
400001511;14
400001512;14
400001513;15
400001514;14
400001516;14
400001517;14
400001526;14
400001527;14
400001528;14
400001536;15
400001537;14
400001538;14
400001539;14
400001543;14
400001544;14
400001545;14
400001546;14
400001547;14
400001549;14
400001551;15
400001554;18
400001558;15
400001559;14
400001566;14
400001574;14
400001580;14
400001613;14
400001614;14
400001615;14
400001617;14
400001618;14
400001619;14
400001620;3
400001620;657
400001620;659
400001621;14
400001622;14
400001625;14
400001633;14
400001634;14
400001635;14
400001636;14
400001637;14
400001638;14
400001640;14
400001642;14
400001643;14
400001644;16
400001645;14
400001647;14
400001648;14
400001649;14
400001651;14
400001657;14
400001661;14
400001662;14
400001663;14
400001664;3
400001664;520
400001664;657
400001664;659
400001664;680
400001666;14
400001668;14
400001670;15
400001671;15
400001672;14
400001673;14
400001677;14
400001678;14
400001679;14
400001680;14
400001681;14
400001682;14
400001683;14
400001684;14
400001685;14
400001686;14
400001687;14
400001688;14
400001689;14
400001690;14
400001691;14
400001692;14
400001693;14
400001694;14
400001695;14
400001697;14
400001698;14
400001699;15
400001700;14
400001701;14
400001702;14
400001703;14
400001704;14
400001707;14
400001708;14
400001709;14
400001710;14
400001711;14
400001712;14
400001714;14
400001720;14
400001726;14
400001727;14
400001728;14
400001731;14
400001732;14
400001733;14
400001735;14
400001736;14
400001737;14
400001738;14
400001739;14
400001740;14
400001741;3
400001741;12
400001741;14
400001741;657
400001741;659
400001741;880
400001742;14
400001743;3
400001743;12
400001743;14
400001743;657
400001743;659
400001743;880
400001744;14
400001745;14
400001746;14
400001747;14
400001748;14
400001749;14
400001750;14
400001751;14
400001752;14
400001753;14
400001754;14
400001755;14
400001756;14
400001757;14
400001758;14
400001762;14
400001771;14
400001772;14
400001773;14
400001774;14
400001777;15
400001778;14
400001780;14
400001781;14
400001859;14
400001860;15
400001861;14
400001862;14
400001863;14
400001864;14
400001865;14
400001866;14
400001867;14
400001868;14
400001869;14
400001870;14
400001871;14
400001872;14
400001877;14
400001878;14
400001879;14
400001893;14
400001894;14
400001896;14
400001897;14
400001898;14
400001899;14
400001900;14
400001902;14
400001906;14
400001907;14
400001908;14
400001909;14
400001910;14
400001911;14
400001912;14
400001913;14
400001914;14
400001915;14
400001916;14
400001917;14
400001918;14
400001919;14
400001920;14
400001921;14
400001923;14
400001926;14
400001927;14
400001928;15
400001929;14
400001931;14
400001934;14
400001935;14
400001937;14
400001953;15
400001968;14
400001969;14
400001970;14
400001971;14
400001973;15
400001974;14
400001975;14
400001977;14
400001978;14
400001979;14
400001996;14
400001997;14
400001998;14
400001999;14
400002000;14
400002001;15
400002001;16
400002002;14
400002003;14
400002004;14
400002005;14
400002006;14
400002007;14
400002008;14
400002009;14
400002018;14
400002019;14
400002020;14
400002021;14
400002022;14
400002023;14
400002024;14
400002025;14
400002026;14
400002027;14
400002028;14
400002029;14
400002030;14
400002031;14
400002032;14
400002033;14
400002034;14
400002035;14
400002036;14
400002037;14
400002038;14
400002039;14
400002040;14
400002041;14
400002042;14
400002043;14
400002044;14
400002045;14
400002046;14
400002047;14
400002048;14
400002049;14
400002050;14
400002051;14
400002052;14
400002053;14
400002054;14
400002055;14
400002056;14
400002057;3
400002057;12
400002057;14
400002057;652
400002057;657
400002057;659
400002057;679
400002057;682
400002058;14
400002059;14
400002060;14
400002061;15
400002064;14
400002065;15
400002066;14
400002068;3
400002068;14
400002068;650
400002068;657
400002068;659
400002070;14
400002082;3
400002082;650
400002082;657
400002082;659
400002083;14
400002084;3
400002084;14
400002084;650
400002084;657
400002084;659
400002085;3
400002085;12
400002085;14
400002085;146
400002085;179
400002085;657
400002085;659
400002085;855
400002087;3
400002087;12
400002087;142
400002087;147
400002087;148
400002087;657
400002088;14
400002094;14
400002096;3
400002096;12
400002096;14
400002096;657
400002096;659
400002096;720
400002097;18
400002098;18
400002099;14
400002100;14
400002101;14
400002102;14
400002103;14
400002104;14
400002105;14
400002108;14
400002110;14
400002111;14
400002112;14
400002113;14
400002116;14
400002117;14
400002165;14
400002167;3
400002167;657
400002167;659
400002173;14
400002207;3
400002207;657
400002207;659
400002213;14
400002227;14
400002234;14
400002288;14
400002383;14
400002412;14
400002413;14
400002414;14
400002415;14
400002417;14
400002420;14
400002421;14
400002423;14
400002424;14
400002425;14
400002427;14
400002428;14
400002430;14
400002432;14
400002433;14
400002434;14
400002435;14
400002436;14
400002476;14
400002524;14
400002525;14
400002526;14
400002527;14
400002528;14
400002529;14
400002543;14
400002600;14
400002691;3
400002691;657
400002691;659
400002705;3
400002705;657
400002705;659
400002726;3
400002726;657
400002726;659
400002726;687
400002726;863
400002737;3
400002737;657
400002737;659
400002749;3
400002749;657
400002772;3
400002772;657
400002772;659
400002838;3
400002838;657
400002838;659
400002863;3
400002863;657
400002863;659
400002873;3
400002873;657
400002873;659
400002942;14
400002949;14
400002950;3
400002950;657
400002950;659
400002970;3
400002970;657
400002970;659
400002972;14
400002988;3
400002988;657
400002988;659
400003008;14
400003037;3
400003037;657
400003050;3
400003050;657
400003050;659
400003076;14
400003092;3
400003092;12
400003092;657
400003092;659
400003092;683
400003135;3
400003135;657
400003135;659
400003346;14
400003449;14
400003453;14
400003611;14
400003612;14
400003613;14
400003614;14
400003615;14
400003616;14
400003617;14
400003618;14
400003619;14
400003620;14
400003621;14
400003622;14
400003623;14
400003624;14
400003625;14
400003626;14
400003627;14
400003628;14
400003629;14
400003630;14
400003631;14
400003632;14
400003633;14
400003634;14
400003635;14
400003636;14
400003637;14
400003638;14
400003639;14
400003640;14
400003641;14
400003642;14
400003643;14
400003644;14
400003645;14
400003646;14
400003647;14
400003648;14
400003649;14
400003650;14
400003651;14
400003652;14
400003653;14
400003654;14
400003655;14
400003656;14
400003657;14
400003658;14
400003659;14
400003660;14
400003661;14
400003662;14
400003663;14
400003664;14
400003665;14
400003666;14
400003667;14
400003668;14
400003669;14
400003670;14
400003671;14
400003672;14
400003673;14
400003674;14
400003675;14
400003676;14
400003677;14
400003678;14
400003679;14
400003680;14
400003681;14
400003682;14
400003683;14
400003684;14
400003685;14
400003686;14
400003687;14
400003688;14
400003689;14
400003690;14
400003691;14
400003692;14
400003693;14
400003694;14
400003695;14
400003696;14
400003697;14
400003698;14
400003699;14
400003700;14
400003701;14
400003702;14
400003703;14
400003704;14
400003705;14
400003706;14
400003707;14
400003708;14
400003709;14
400003710;14
400003711;14
400003712;14
400003713;14
400003714;14
400003715;14
400003716;14
400003717;14
400003718;14
400003719;14
400003720;14
400003721;14
400003722;14
400003723;14
400003724;14
400003725;14
400003726;14
400003727;14
400003728;14
400003729;14
400003730;14
400003731;14
400003732;14
400003733;14
400003734;14
400003735;14
400003736;14
400003737;14
400003738;14
400003739;14
400003740;14
400003741;14
400003742;14
400003743;14
400003744;14
400003745;14
400003746;14
400003747;14
400003748;14
400003749;14
400003750;14
400003751;14
400003752;14
400003753;14
400003754;14
400003755;14
400003756;14
400003757;14
400003758;14
400003759;14
400003760;14
400003761;14
400003762;14
400003763;14
400003764;14
400003765;14
400003766;14
400003767;14
400003768;14
400003769;14
400003770;14
400003771;14
400003772;14
400003773;14
400003774;14
400003775;14
400003776;14
400003777;14
400003778;14
400003779;14
400003780;14
400003781;14
400003782;14
400003783;14
400003784;14
400003785;14
400003786;14
400003787;14
400003788;14
400003789;14
400003790;14
400003791;14
400003792;14
400003793;14
400003794;14
400003795;14
400003796;14
400003797;14
400003798;14
400003799;14
400003800;14
400003801;14
400003802;14
400003803;14
400003804;14
400003805;14
400003806;14
400003807;14
400003808;14
400003809;14
400003810;14
400003811;14
400003812;14
400003813;14
400003814;14
400003815;14
400003816;14
400003817;14
400003818;14
400003819;14
400003820;14
400003821;14
400003822;14
400003823;14
400003824;14
400003825;14
400003826;14
400003827;14
400003828;14
400003829;14
400003830;14
400003831;14
400003832;14
400003833;14
400003834;14
400003835;14
400003836;14
400003837;14
400003838;14
400003839;14
400003840;14
400003841;14
400003842;14
400003843;14
400003844;14
400003845;14
400003846;14
400003847;14
400003848;14
400003849;14
400003850;14
400003851;14
400003852;14
400003853;14
400003854;14
400003855;14
400003856;14
400003857;14
400003858;14
400003859;14
400003860;14
400003861;14
400003862;14
400003863;14
400003864;14
400003865;14
400003866;14
400003867;14
400003868;14
400003869;14
400003870;14
400003871;14
400003872;14
400003873;14
400003874;14
400003875;14
400003876;14
400003877;14
400003878;14
400003879;14
400003880;14
400003881;14
400003882;14
400003883;14
400003884;14
400003885;14
400003886;14
400003887;14
400003888;14
400003889;14
400003890;14
400003891;14
400003892;14
400003893;14
400003894;14
400003895;14
400003896;14
400003897;14
400003898;14
400003899;14
400003900;14
400003901;14
